id,trade_date,fixed_asset_id,asset_detail_id,beginning_amt,acquisition,depreciation,disposal,net_book_value
BF00000030,2022-02-14,FA10045,AD10045,41117.26,13.34,44.94,3.84,41081.82
BF00000031,2022-02-15,FA10045,AD10045,41081.82,11.3,76.87,1.41,41014.84
BF00000032,2022-02-16,FA10045,AD10045,41014.84,6.91,82.33,2.28,40937.14
BF00000033,2022-02-17,FA10045,AD10045,40937.14,13.85,64.31,1.21,40885.47
BF00000034,2022-02-18,FA10045,AD10045,40885.47,2.84,86.03,0.7,40801.58
BF00000035,2022-02-22,FA10045,AD10045,40801.58,0.39,111.55,0.8,40689.62
BF00000036,2022-02-23,FA10045,AD10045,40689.62,1.53,47.56,0.24,40643.35
BF00000037,2022-02-24,FA10045,AD10045,40643.35,12.29,58.37,3.89,40593.38
BF00000038,2022-02-25,FA10045,AD10045,40593.38,7.86,1.41,1.65,40598.18
BF00000039,2022-02-28,FA10045,AD10045,40598.18,2.74,90.3,3.42,40507.2
BF00000040,2022-03-01,FA10045,AD10045,40507.2,8.52,59.01,2.79,40453.92
BF00000041,2022-03-02,FA10045,AD10045,40453.92,2.59,46.28,0.79,40409.44
BF00000042,2022-03-03,FA10045,AD10045,40409.44,11.85,10.67,0.72,40409.9
BF00000043,2022-03-04,FA10045,AD10045,40409.9,7.59,100.92,3.32,40313.25
BF00000044,2022-03-07,FA10045,AD10045,40313.25,6.48,44.81,1.08,40273.84
BF00000045,2022-03-08,FA10045,AD10045,40273.84,5.13,77.43,3.74,40197.8
BF00000046,2022-03-09,FA10045,AD10045,40197.8,10.72,16.94,0.57,40191.01
BF00000047,2022-03-10,FA10045,AD10045,40191.01,6.16,109.07,2.77,40085.33
BF00000048,2022-03-11,FA10045,AD10045,40085.33,1.49,20.24,3.33,40063.25
BF00000049,2022-03-14,FA10045,AD10045,40063.25,2.01,22.64,0.96,40041.66
BF00000050,2022-03-15,FA10045,AD10045,40041.66,16.37,97.44,1.13,39959.46
BF00000051,2022-03-16,FA10045,AD10045,39959.46,15.46,103.52,3.95,39867.45
BF00000052,2022-03-17,FA10045,AD10045,39867.45,11.9,24.06,1.08,39854.21
BF00000053,2022-03-18,FA10045,AD10045,39854.21,4.52,53.29,1.76,39803.68
BF00000054,2022-03-21,FA10045,AD10045,39803.68,16.49,83.2,1.77,39735.2
BF00000055,2022-03-22,FA10045,AD10045,39735.2,13.25,99.64,1.04,39647.77
BF00000056,2022-03-23,FA10045,AD10045,39647.77,12.2,43.0,3.18,39613.79
BF00000057,2022-03-24,FA10045,AD10045,39613.79,7.65,58.65,3.16,39559.63
BF00000058,2022-03-25,FA10045,AD10045,39559.63,4.63,84.14,1.55,39478.57
BF00000059,2022-03-28,FA10045,AD10045,39478.57,1.64,82.94,3.42,39393.85
BF00000060,2022-03-29,FA10045,AD10045,39393.85,15.36,88.82,0.87,39319.52
BF00000061,2022-03-30,FA10045,AD10045,39319.52,7.75,64.65,0.02,39262.6
BF00000062,2022-03-31,FA10045,AD10045,39262.6,3.44,11.87,2.34,39251.83
BF00000063,2022-04-01,FA10045,AD10045,39251.83,5.21,102.54,4.07,39150.43
BF00000064,2022-04-04,FA10045,AD10045,39150.43,9.85,98.19,0.16,39061.93
BF00000065,2022-04-05,FA10045,AD10045,39061.93,3.01,90.53,0.85,38973.56
BF00000066,2022-04-06,FA10045,AD10045,38973.56,14.57,11.33,2.12,38974.68
BF00000067,2022-04-07,FA10045,AD10045,38974.68,12.91,23.19,3.32,38961.08
BF00000068,2022-04-08,FA10045,AD10045,38961.08,12.24,84.35,0.36,38888.61
BF00000069,2022-04-11,FA10045,AD10045,38888.61,7.35,2.62,1.62,38891.72
BF00000070,2022-04-12,FA10045,AD10045,38891.72,10.67,111.08,3.06,38788.25
BF00000071,2022-04-13,FA10045,AD10045,38788.25,9.94,42.78,1.52,38753.89
BF00000072,2022-04-14,FA10045,AD10045,38753.89,11.06,81.6,0.77,38682.58
BF00000073,2022-04-18,FA10045,AD10045,38682.58,1.44,100.68,0.8,38582.54
BF00000074,2022-04-19,FA10045,AD10045,38582.54,7.07,44.76,1.68,38543.17
BF00000075,2022-04-20,FA10045,AD10045,38543.17,0.71,36.2,1.96,38505.72
BF00000076,2022-04-21,FA10045,AD10045,38505.72,8.4,69.05,3.53,38441.54
BF00000077,2022-04-22,FA10045,AD10045,38441.54,5.61,65.9,2.63,38378.62
BF00000078,2022-04-25,FA10045,AD10045,38378.62,2.46,46.41,2.83,38331.84
BF00000079,2022-04-26,FA10045,AD10045,38331.84,1.76,68.26,4.02,38261.32
BF00000080,2022-04-27,FA10045,AD10045,38261.32,10.0,106.11,1.69,38163.52
BF00000081,2022-04-28,FA10045,AD10045,38163.52,2.9,53.05,1.65,38111.72
BF00000082,2022-04-29,FA10045,AD10045,38111.72,15.74,22.32,3.78,38101.36
BF00000083,2022-05-02,FA10045,AD10045,38101.36,9.89,42.79,1.01,38067.45
BF00000084,2022-05-03,FA10045,AD10045,38067.45,5.9,44.71,2.99,38025.65
BF00000085,2022-05-04,FA10045,AD10045,38025.65,10.05,14.87,3.09,38017.74
BF00000086,2022-05-05,FA10045,AD10045,38017.74,0.39,18.48,0.4,37999.25
BF00000087,2022-05-06,FA10045,AD10045,37999.25,16.31,77.65,1.92,37935.99
BF00000088,2022-05-09,FA10045,AD10045,37935.99,8.21,38.51,0.82,37904.87
BF00000089,2022-05-10,FA10045,AD10045,37904.87,13.32,108.32,0.76,37809.11
BF00000090,2022-05-11,FA10045,AD10045,37809.11,1.41,27.63,1.9,37780.99
BF00000091,2022-05-12,FA10045,AD10045,37780.99,8.28,11.22,1.19,37776.86
BF00000092,2022-05-13,FA10045,AD10045,37776.86,8.35,85.47,3.26,37696.48
BF00000093,2022-05-16,FA10045,AD10045,37696.48,15.96,99.94,3.72,37608.78
BF00000094,2022-05-17,FA10045,AD10045,37608.78,9.73,31.55,3.29,37583.67
BF00000095,2022-05-18,FA10045,AD10045,37583.67,8.06,22.92,1.09,37567.72
BF00000096,2022-05-19,FA10045,AD10045,37567.72,4.54,21.07,1.12,37550.07
BF00000097,2022-05-20,FA10045,AD10045,37550.07,5.64,59.21,1.04,37495.46
BF00000098,2022-05-23,FA10045,AD10045,37495.46,8.86,53.13,0.55,37450.64
BF00000099,2022-05-24,FA10045,AD10045,37450.64,7.47,29.43,3.86,37424.82
BF00000100,2022-05-25,FA10045,AD10045,37424.82,0.37,5.12,1.65,37418.42
BF00000101,2022-05-26,FA10045,AD10045,37418.42,14.06,54.62,0.92,37376.94
BF00000102,2022-05-27,FA10045,AD10045,37376.94,15.25,108.82,3.47,37279.9
BF00000103,2022-05-31,FA10045,AD10045,37279.9,2.39,74.02,1.63,37206.64
BF00000104,2022-06-01,FA10045,AD10045,37206.64,9.43,56.21,0.14,37159.72
BF00000105,2022-06-02,FA10045,AD10045,37159.72,1.85,12.56,0.66,37148.35
BF00000106,2022-06-03,FA10045,AD10045,37148.35,11.44,28.64,2.62,37128.53
BF00000107,2022-06-06,FA10045,AD10045,37128.53,4.78,33.44,3.21,37096.66
BF00000108,2022-06-07,FA10045,AD10045,37096.66,11.22,86.76,0.86,37020.26
BF00000109,2022-06-08,FA10045,AD10045,37020.26,12.37,99.45,3.76,36929.42
BF00000110,2022-06-09,FA10045,AD10045,36929.42,13.08,102.28,3.48,36836.74
BF00000111,2022-06-10,FA10045,AD10045,36836.74,1.83,111.68,3.47,36723.42
BF00000112,2022-06-13,FA10045,AD10045,36723.42,15.58,111.43,0.93,36626.64
BF00000113,2022-06-14,FA10045,AD10045,36626.64,3.92,108.1,0.21,36522.25
BF00000114,2022-06-15,FA10045,AD10045,36522.25,0.64,8.15,3.55,36511.19
BF00000115,2022-06-16,FA10045,AD10045,36511.19,9.44,15.63,1.25,36503.75
BF00000116,2022-06-17,FA10045,AD10045,36503.75,6.31,34.54,2.53,36472.99
BF00000117,2022-06-21,FA10045,AD10045,36472.99,14.12,62.72,3.11,36421.28
BF00000118,2022-06-22,FA10045,AD10045,36421.28,13.75,11.0,0.53,36423.5
BF00000119,2022-06-23,FA10045,AD10045,36423.5,5.4,95.94,3.2,36329.76
BF00000120,2022-06-24,FA10045,AD10045,36329.76,16.21,69.96,3.84,36272.17
BF00000121,2022-06-27,FA10045,AD10045,36272.17,4.95,61.52,2.98,36212.62
BF00000122,2022-06-28,FA10045,AD10045,36212.62,8.76,18.75,1.81,36200.82
BF00000123,2022-06-29,FA10045,AD10045,36200.82,4.35,28.73,3.59,36172.85
BF00000124,2022-06-30,FA10045,AD10045,36172.85,15.93,18.19,2.16,36168.43
BF00000125,2022-07-01,FA10045,AD10045,36168.43,2.8,96.64,3.05,36071.54
BF00000126,2022-07-05,FA10045,AD10045,36071.54,0.76,66.27,3.36,36002.67
BF00000127,2022-07-06,FA10045,AD10045,36002.67,7.4,83.39,3.07,35923.61
BF00000128,2022-07-07,FA10045,AD10045,35923.61,16.88,33.58,1.18,35905.73
BF00000129,2022-07-08,FA10045,AD10045,35905.73,15.17,42.11,0.48,35878.31
BF00000130,2022-07-11,FA10045,AD10045,35878.31,12.74,45.92,0.98,35844.15
BF00000131,2022-07-12,FA10045,AD10045,35844.15,15.16,86.21,2.06,35771.04
BF00000132,2022-07-13,FA10045,AD10045,35771.04,15.2,87.61,2.07,35696.56
BF00000133,2022-07-14,FA10045,AD10045,35696.56,8.83,23.46,2.39,35679.54
BF00000134,2022-07-15,FA10045,AD10045,35679.54,5.38,106.8,1.62,35576.5
BF00000135,2022-07-18,FA10045,AD10045,35576.5,13.13,13.69,3.22,35572.72
BF00000136,2022-07-19,FA10045,AD10045,35572.72,11.26,101.65,3.74,35478.59
BF00000137,2022-07-20,FA10045,AD10045,35478.59,6.36,11.39,1.01,35472.55
BF00000138,2022-07-21,FA10045,AD10045,35472.55,1.61,30.01,3.02,35441.13
BF00000139,2022-07-22,FA10045,AD10045,35441.13,12.71,96.02,2.78,35355.04
BF00000140,2022-07-25,FA10045,AD10045,35355.04,4.47,20.36,2.14,35337.01
BF00000141,2022-07-26,FA10045,AD10045,35337.01,15.94,46.91,0.77,35305.27
BF00000142,2022-07-27,FA10045,AD10045,35305.27,4.1,51.03,3.26,35255.08
BF00000143,2022-07-28,FA10045,AD10045,35255.08,2.09,27.82,3.93,35225.42
BF00000144,2022-07-29,FA10045,AD10045,35225.42,14.14,80.57,2.96,35156.03
BF00000145,2022-08-01,FA10045,AD10045,35156.03,2.61,96.57,3.76,35058.31
BF00000146,2022-08-02,FA10045,AD10045,35058.31,3.05,99.21,4.03,34958.12
BF00000147,2022-08-03,FA10045,AD10045,34958.12,10.2,38.49,1.44,34928.39
BF00000148,2022-08-04,FA10045,AD10045,34928.39,14.88,60.22,2.61,34880.44
BF00000149,2022-08-05,FA10045,AD10045,34880.44,3.34,28.18,1.94,34853.66
BF00000150,2022-08-08,FA10045,AD10045,34853.66,5.28,27.77,4.04,34827.13
BF00000151,2022-08-09,FA10045,AD10045,34827.13,13.23,18.29,0.38,34821.69
BF00000152,2022-08-10,FA10045,AD10045,34821.69,16.53,106.63,1.69,34729.9
BF00000153,2022-08-11,FA10045,AD10045,34729.9,8.52,100.73,3.58,34634.11
BF00000154,2022-08-12,FA10045,AD10045,34634.11,2.45,88.18,1.16,34547.22
BF00000155,2022-08-15,FA10045,AD10045,34547.22,0.24,58.72,3.23,34485.51
BF00000156,2022-08-16,FA10045,AD10045,34485.51,3.91,55.65,1.57,34432.2
BF00000157,2022-08-17,FA10045,AD10045,34432.2,2.24,60.09,4.01,34370.34
BF00000158,2022-08-18,FA10045,AD10045,34370.34,11.53,60.87,3.62,34317.38
BF00000159,2022-08-19,FA10045,AD10045,34317.38,2.07,49.29,1.23,34268.93
BF00000160,2022-08-22,FA10045,AD10045,34268.93,8.61,14.95,3.15,34259.44
BF00000161,2022-08-23,FA10045,AD10045,34259.44,11.81,14.25,1.38,34255.62
BF00000162,2022-08-24,FA10045,AD10045,34255.62,9.89,108.02,2.48,34155.01
BF00000163,2022-08-25,FA10045,AD10045,34155.01,3.4,54.68,2.7,34101.03
BF00000164,2022-08-26,FA10045,AD10045,34101.03,13.68,108.13,3.4,34003.18
BF00000165,2022-08-29,FA10045,AD10045,34003.18,12.17,18.56,0.1,33996.69
BF00000166,2022-08-30,FA10045,AD10045,33996.69,12.57,62.89,0.9,33945.47
BF00000167,2022-08-31,FA10045,AD10045,33945.47,2.23,23.56,2.91,33921.23
BF00000168,2022-09-01,FA10045,AD10045,33921.23,2.11,28.72,2.31,33892.31
BF00000169,2022-09-02,FA10045,AD10045,33892.31,15.78,3.41,2.03,33902.65
BF00000170,2022-09-06,FA10045,AD10045,33902.65,6.76,13.49,0.23,33895.69
BF00000171,2022-09-07,FA10045,AD10045,33895.69,5.12,104.0,1.43,33795.38
BF00000172,2022-09-08,FA10045,AD10045,33795.38,8.31,36.47,3.54,33763.68
BF00000173,2022-09-09,FA10045,AD10045,33763.68,11.28,68.98,0.13,33705.85
BF00000174,2022-09-12,FA10045,AD10045,33705.85,16.26,52.75,1.62,33667.74
BF00000175,2022-09-13,FA10045,AD10045,33667.74,4.87,45.43,3.87,33623.31
BF00000176,2022-09-14,FA10045,AD10045,33623.31,15.73,60.33,0.21,33578.5
BF00000177,2022-09-15,FA10045,AD10045,33578.5,0.42,21.24,3.07,33554.61
BF00000178,2022-09-16,FA10045,AD10045,33554.61,9.45,112.14,1.05,33450.87
BF00000179,2022-09-19,FA10045,AD10045,33450.87,10.79,92.82,3.55,33365.29
BF00000180,2022-09-20,FA10045,AD10045,33365.29,1.8,84.13,3.05,33279.91
BF00000181,2022-09-21,FA10045,AD10045,33279.91,2.39,53.17,3.63,33225.5
BF00000182,2022-09-22,FA10045,AD10045,33225.5,7.13,17.34,0.88,33214.41
BF00000183,2022-09-23,FA10045,AD10045,33214.41,16.44,104.44,2.18,33124.23
BF00000184,2022-09-26,FA10045,AD10045,33124.23,10.14,38.73,3.19,33092.45
BF00000185,2022-09-27,FA10045,AD10045,33092.45,15.87,5.68,1.01,33101.63
BF00000186,2022-09-28,FA10045,AD10045,33101.63,13.69,38.84,0.94,33075.54
BF00000187,2022-09-29,FA10045,AD10045,33075.54,7.95,90.12,0.11,32993.26
BF00000188,2022-09-30,FA10045,AD10045,32993.26,13.35,70.64,3.92,32932.05
BF00000189,2022-10-03,FA10045,AD10045,32932.05,0.3,85.17,2.91,32844.27
BF00000190,2022-10-04,FA10045,AD10045,32844.27,1.86,90.03,2.6,32753.5
BF00000191,2022-10-05,FA10045,AD10045,32753.5,14.11,24.04,3.05,32740.52
BF00000192,2022-10-06,FA10045,AD10045,32740.52,13.56,104.79,2.18,32647.11
BF00000193,2022-10-07,FA10045,AD10045,32647.11,3.96,49.68,1.95,32599.44
BF00000194,2022-10-10,FA10045,AD10045,32599.44,9.03,72.49,1.84,32534.14
BF00000195,2022-10-11,FA10045,AD10045,32534.14,10.31,0.26,2.62,32541.57
BF00000196,2022-10-12,FA10045,AD10045,32541.57,14.76,112.68,0.83,32442.82
BF00000197,2022-10-13,FA10045,AD10045,32442.82,10.26,31.86,3.64,32417.58
BF00000198,2022-10-14,FA10045,AD10045,32417.58,7.02,7.04,3.32,32414.24
BF00000199,2022-10-17,FA10045,AD10045,32414.24,6.37,51.98,1.43,32367.2
BF00000200,2022-10-18,FA10045,AD10045,32367.2,7.25,14.64,2.37,32357.44
BF00000201,2022-10-19,FA10045,AD10045,32357.44,11.09,17.28,0.58,32350.67
BF00000202,2022-10-20,FA10045,AD10045,32350.67,14.76,71.72,3.98,32289.73
BF00000203,2022-10-21,FA10045,AD10045,32289.73,7.72,44.57,3.7,32249.18
BF00000204,2022-10-24,FA10045,AD10045,32249.18,4.22,104.57,3.77,32145.06
BF00000205,2022-10-25,FA10045,AD10045,32145.06,4.03,36.2,1.36,32111.53
BF00000206,2022-10-26,FA10045,AD10045,32111.53,12.69,82.37,0.69,32041.16
BF00000207,2022-10-27,FA10045,AD10045,32041.16,13.89,52.3,0.87,32001.88
BF00000208,2022-10-28,FA10045,AD10045,32001.88,1.79,74.86,0.37,31928.44
BF00000209,2022-10-31,FA10045,AD10045,31928.44,1.13,68.03,0.49,31861.05
BF00000210,2022-11-01,FA10045,AD10045,31861.05,10.11,53.63,0.29,31817.24
BF00000211,2022-11-02,FA10045,AD10045,31817.24,2.49,107.77,4.05,31707.91
BF00000212,2022-11-03,FA10045,AD10045,31707.91,14.03,38.88,0.3,31682.76
BF00000213,2022-11-04,FA10045,AD10045,31682.76,5.28,20.1,0.54,31667.4
BF00000214,2022-11-07,FA10045,AD10045,31667.4,2.45,76.92,3.39,31589.54
BF00000215,2022-11-08,FA10045,AD10045,31589.54,15.67,95.97,2.38,31506.86
BF00000216,2022-11-09,FA10045,AD10045,31506.86,2.82,4.57,3.17,31501.94
BF00000217,2022-11-10,FA10045,AD10045,31501.94,4.84,51.0,2.58,31453.2
BF00000218,2022-11-11,FA10045,AD10045,31453.2,2.61,101.24,3.61,31350.96
BF00000219,2022-11-14,FA10045,AD10045,31350.96,1.96,85.03,2.61,31265.28
BF00000220,2022-11-15,FA10045,AD10045,31265.28,0.36,112.51,2.14,31150.99
BF00000221,2022-11-16,FA10045,AD10045,31150.99,0.94,60.28,2.92,31088.73
BF00000222,2022-11-17,FA10045,AD10045,31088.73,2.97,74.87,1.83,31015.0
BF00000223,2022-11-18,FA10045,AD10045,31015.0,0.91,34.31,1.42,30980.18
BF00000224,2022-11-21,FA10045,AD10045,30980.18,10.06,107.48,1.91,30880.85
BF00000225,2022-11-22,FA10045,AD10045,30880.85,11.58,41.56,0.69,30850.18
BF00000226,2022-11-23,FA10045,AD10045,30850.18,6.7,83.77,3.26,30769.85
BF00000227,2022-11-25,FA10045,AD10045,30769.85,5.41,45.73,1.07,30728.46
BF00000228,2022-11-28,FA10045,AD10045,30728.46,8.58,63.73,0.63,30672.68
BF00000229,2022-11-29,FA10045,AD10045,30672.68,14.89,81.65,1.01,30604.91
BF00000230,2022-11-30,FA10045,AD10045,30604.91,14.48,57.73,3.45,30558.21
BF00000231,2022-12-01,FA10045,AD10045,30558.21,0.74,102.9,1.35,30454.7
BF00000232,2022-12-02,FA10045,AD10045,30454.7,3.09,47.56,2.81,30407.42
BF00000233,2022-12-05,FA10045,AD10045,30407.42,4.03,73.4,3.51,30334.54
BF00000234,2022-12-06,FA10045,AD10045,30334.54,4.24,38.84,0.32,30299.62
BF00000235,2022-12-07,FA10045,AD10045,30299.62,9.72,46.3,3.13,30259.91
BF00000236,2022-12-08,FA10045,AD10045,30259.91,7.08,49.92,1.26,30215.81
BF00000237,2022-12-09,FA10045,AD10045,30215.81,0.84,14.27,0.89,30201.49
BF00000238,2022-12-12,FA10045,AD10045,30201.49,6.36,10.4,2.82,30194.63
BF00000239,2022-12-13,FA10045,AD10045,30194.63,8.91,75.72,3.72,30124.1
BF00000240,2022-12-14,FA10045,AD10045,30124.1,1.73,74.36,1.21,30050.26
BF00000241,2022-12-15,FA10045,AD10045,30050.26,14.18,75.2,2.33,29986.91
BF00000242,2022-12-16,FA10045,AD10045,29986.91,0.88,2.24,1.19,29984.36
BF00000243,2022-12-19,FA10045,AD10045,29984.36,15.73,37.04,2.27,29960.78
BF00000244,2022-12-20,FA10045,AD10045,29960.78,1.69,22.44,2.55,29937.48
BF00000245,2022-12-21,FA10045,AD10045,29937.48,14.35,88.27,2.5,29861.06
BF00000246,2022-12-22,FA10045,AD10045,29861.06,15.36,97.63,2.55,29776.24
BF00000247,2022-12-23,FA10045,AD10045,29776.24,16.67,27.98,0.55,29764.38
BF00000248,2022-12-27,FA10045,AD10045,29764.38,13.65,75.76,2.84,29699.43
BF00000249,2022-12-28,FA10045,AD10045,29699.43,13.26,14.67,2.76,29695.26
BF00000250,2022-12-29,FA10045,AD10045,29695.26,10.93,31.21,2.79,29672.19
BF00000251,2022-12-30,FA10045,AD10045,29672.19,13.25,15.73,0.3,29669.41
BF00000252,2023-01-03,FA10045,AD10045,29669.41,2.29,32.16,1.83,29637.71
BF00000253,2023-01-04,FA10045,AD10045,29637.71,9.12,76.54,1.67,29568.62
BF00000254,2023-01-05,FA10045,AD10045,29568.62,8.75,103.26,0.36,29473.75
BF00000255,2023-01-06,FA10045,AD10045,29473.75,14.59,22.97,0.91,29464.46
BF00000256,2023-01-09,FA10045,AD10045,29464.46,7.87,61.49,1.81,29409.03
BF00000257,2023-01-10,FA10045,AD10045,29409.03,6.55,79.56,3.04,29332.98
BF00000258,2023-01-11,FA10045,AD10045,29332.98,10.88,108.09,0.97,29234.8
BF00000259,2023-01-12,FA10045,AD10045,29234.8,4.53,69.2,3.4,29166.73
BF00000260,2023-01-13,FA10045,AD10045,29166.73,2.38,28.94,2.23,29137.94
BF00000261,2023-01-17,FA10045,AD10045,29137.94,8.13,70.95,3.11,29072.01
BF00000262,2023-01-18,FA10045,AD10045,29072.01,7.09,36.35,1.93,29040.82
BF00000263,2023-01-19,FA10045,AD10045,29040.82,3.96,110.73,2.04,28932.01
BF00000264,2023-01-20,FA10045,AD10045,28932.01,6.25,45.34,2.54,28890.38
BF00000265,2023-01-23,FA10045,AD10045,28890.38,6.23,77.75,3.8,28815.06
BF00000266,2023-01-24,FA10045,AD10045,28815.06,5.57,2.63,2.01,28815.99
BF00000267,2023-01-25,FA10045,AD10045,28815.99,6.46,45.38,2.16,28774.91
BF00000268,2023-01-26,FA10045,AD10045,28774.91,11.67,99.27,2.46,28684.85
BF00000269,2023-01-27,FA10045,AD10045,28684.85,5.05,69.22,3.02,28617.66
BF00000270,2023-01-30,FA10045,AD10045,28617.66,16.14,50.36,0.29,28583.15
BF00000271,2023-01-31,FA10045,AD10045,28583.15,15.59,106.17,2.11,28490.46
BF00000272,2023-02-01,FA10045,AD10045,28490.46,8.18,96.87,1.97,28399.8
BF00000273,2023-02-02,FA10045,AD10045,28399.8,5.59,36.55,3.77,28365.07
BF00000274,2023-02-03,FA10045,AD10045,28365.07,9.11,61.77,2.02,28310.39
BF00000275,2023-02-06,FA10045,AD10045,28310.39,14.44,55.56,1.92,28267.35
BF00000276,2023-02-07,FA10045,AD10045,28267.35,11.1,71.71,3.94,28202.8
BF00000277,2023-02-08,FA10045,AD10045,28202.8,13.69,37.9,1.84,28176.75
BF00000278,2023-02-09,FA10045,AD10045,28176.75,9.06,27.7,0.74,28157.37
BF00000279,2023-02-10,FA10045,AD10045,28157.37,10.77,103.53,0.89,28063.72
BF00000280,2023-02-13,FA10045,AD10045,28063.72,4.9,104.8,0.39,27963.43
BF00000281,2023-02-14,FA10045,AD10045,27963.43,12.5,95.66,0.0,27880.27
BF00000282,2023-02-15,FA10045,AD10045,27880.27,3.44,110.96,1.77,27770.98
BF00000283,2023-02-16,FA10045,AD10045,27770.98,11.82,84.51,3.15,27695.14
BF00000284,2023-02-17,FA10045,AD10045,27695.14,14.64,86.74,3.0,27620.04
BF00000285,2023-02-21,FA10045,AD10045,27620.04,2.25,86.5,0.13,27535.66
BF00000286,2023-02-22,FA10045,AD10045,27535.66,10.45,54.52,2.33,27489.26
BF00000287,2023-02-23,FA10045,AD10045,27489.26,1.62,51.78,0.63,27438.47
BF00000288,2023-02-24,FA10045,AD10045,27438.47,12.35,27.25,3.85,27419.72
BF00000289,2023-02-27,FA10045,AD10045,27419.72,1.44,73.15,0.69,27347.32
BF00000290,2023-02-28,FA10045,AD10045,27347.32,15.92,32.82,2.57,27327.85
BF00000291,2023-03-01,FA10045,AD10045,27327.85,2.34,29.24,1.34,27299.61
BF00000292,2023-03-02,FA10045,AD10045,27299.61,16.31,66.47,2.63,27246.82
BF00000293,2023-03-03,FA10045,AD10045,27246.82,13.63,46.51,1.69,27212.25
BF00000294,2023-03-06,FA10045,AD10045,27212.25,10.1,24.83,3.11,27194.41
BF00000295,2023-03-07,FA10045,AD10045,27194.41,13.32,92.57,0.94,27114.22
BF00000296,2023-03-08,FA10045,AD10045,27114.22,13.53,97.62,3.71,27026.42
BF00000297,2023-03-09,FA10045,AD10045,27026.42,16.1,19.02,2.05,27021.45
BF00000298,2023-03-10,FA10045,AD10045,27021.45,4.31,0.85,3.1,27021.81
BF00000299,2023-03-13,FA10045,AD10045,27021.81,10.04,38.13,3.48,26990.24
BF00000300,2023-03-14,FA10045,AD10045,26990.24,1.62,90.47,4.09,26897.3
BF00000301,2023-03-15,FA10045,AD10045,26897.3,10.48,95.19,0.92,26811.67
BF00000302,2023-03-16,FA10045,AD10045,26811.67,2.91,15.69,1.17,26797.72
BF00000303,2023-03-17,FA10045,AD10045,26797.72,9.61,87.84,1.03,26718.46
BF00000304,2023-03-20,FA10045,AD10045,26718.46,9.74,13.12,1.08,26714.0
BF00000305,2023-03-21,FA10045,AD10045,26714.0,7.93,44.25,2.38,26675.3
BF00000306,2023-03-22,FA10045,AD10045,26675.3,8.89,113.28,4.07,26566.84
BF00000307,2023-03-23,FA10045,AD10045,26566.84,13.0,21.85,4.05,26553.94
BF00000308,2023-03-24,FA10045,AD10045,26553.94,13.6,17.46,2.16,26547.92
